,Data,,Label,Discriminant
121,1.130973355,0.942477796,+1,1.202037444
122,4.272566009,1.130973355,+1,2.032010739
123,4.586725274,4.963716393,+1,1.756692203
124,3.89557489,4.146902303,+1,2.724459223
125,4.021238597,3.644247478,+1,1.055258911
126,2.45044227,5.71769863,+1,2.095186383
127,2.513274123,5.654866776,+1,2.20217258
128,4.523893421,6.220353454,+1,1.166632635
129,0.062831853,3.958406744,+1,2.309407474
130,0.376991118,5.403539364,+1,1.055469822
131,4.146902303,3.707079331,+1,1.40312268
132,1.507964474,1.319468915,+1,1.584726677
133,5.969026042,0.942477796,+1,1.537060882
134,4.461061568,0.565486678,+1,0.787553219
135,5.340707511,0.81681409,+1,1.347371548
136,0.188495559,0.502654825,+1,1.538714568
137,5.843362336,5.52920307,+1,1.480111287
138,3.581415625,4.335397862,+1,2.836858029
139,5.340707511,5.466371217,+1,2.076128584
140,2.45044227,5.466371217,+1,1.714066415
141,0.565486678,1.130973355,+1,1.099275286
142,4.272566009,5.780530483,+1,0.490504012
143,5.466371217,4.398229715,+1,3.231688736
144,0.879645943,3.89557489,+1,1.930612147
145,5.215043805,2.764601535,+1,2.410870377
146,6.031857895,1.005309649,+1,1.334491283
147,3.455751919,2.764601535,+1,0.858047224
148,3.204424507,5.340707511,+1,0.85534902
149,1.382300768,4.146902303,+1,0.916048023
150,3.141592654,2.387610417,+1,1.24325989
151,0.376991118,3.958406744,+1,2.891738768
152,1.068141502,1.130973355,+1,1.689143689
153,0.879645943,1.130973355,+1,0.723198184
154,2.701769682,5.089380099,+1,1.012357976
155,5.52920307,5.71769863,+1,1.483533956
156,4.021238597,0.565486678,+1,1.881085269
157,5.52920307,1.696460033,+1,2.964176076
158,4.90088454,2.513274123,+1,2.479263728
159,4.838052687,2.638937829,+1,1.719172062
160,4.146902303,3.769911184,+1,1.711688081
161,3.26725636,2.638937829,+1,0.883248252
162,1.382300768,4.523893421,+1,1.909671188
163,0.942477796,2.45044227,+1,2.325607813
164,5.592034923,2.324778564,+1,1.975331473
165,3.832743037,4.649557127,+1,1.66062411
166,3.581415625,4.398229715,+1,2.430131259
167,1.256637061,5.843362336,+1,0.965816139
168,0.439822972,2.45044227,+1,0.406695413
169,2.953097094,2.136283004,+1,1.597470754
170,0.81681409,4.08407045,+1,2.178146484
171,3.141592654,2.010619298,+1,1.227130377
172,1.884955592,5.71769863,+1,2.111555982
173,3.078760801,2.387610417,+1,1.04857388
174,3.392920066,3.958406744,+1,2.442205517
175,1.130973355,5.403539364,+1,0.836926625
176,6.157521601,4.209734156,+1,1.650526948
177,5.780530483,5.215043805,+1,1.342716829
178,0.753982237,4.209734156,+1,3.055891924
179,5.969026042,5.340707511,+1,2.215142042
180,3.078760801,2.513274123,+1,0.496999207
181,4.209734156,4.08407045,+1,1.830707187
182,0.439822972,1.193805208,+1,0.636027691
183,1.507964474,5.152211952,+1,2.376372635
184,3.832743037,4.71238898,+1,1.264431073
185,6.031857895,1.696460033,+1,0.037090139
186,1.63362818,0.879645943,+1,1.872462422
187,0.691150384,0.314159265,+1,1.455291717
188,3.89557489,0.565486678,+1,2.152784066
189,0.125663706,0.502654825,+1,0.81070311
190,2.638937829,2.073451151,+1,1.960365669
191,3.078760801,0.628318531,+1,1.481772391
192,2.010619298,2.701769682,+1,1.239540007
193,1.319468915,5.152211952,+1,2.097558867
194,4.272566009,5.592034923,+1,1.097509915
195,5.654866776,4.272566009,+1,2.732878462
196,5.654866776,0.628318531,+1,1.17789461
197,4.586725274,6.094689748,+1,0.859217664
198,1.507964474,4.335397862,+1,0.900506748
199,0.628318531,1.445132621,+1,1.603399234
200,6.094689748,3.455751919,+1,1.514749517
201,3.26725636,1.947787445,+1,0.856891566
202,3.832743037,5.403539364,+1,1.5608518
203,1.445132621,6.094689748,+1,1.329817493
204,0.502654825,2.701769682,+1,1.981574634
205,4.838052687,2.45044227,+1,2.552713696
206,1.884955592,0.691150384,+1,1.399489145
207,0.125663706,5.340707511,+1,1.438491203
208,5.277875658,2.953097094,+1,1.529709086
209,2.638937829,2.387610417,+1,1.631581503
210,5.466371217,2.890265241,+1,2.089243017
211,0.125663706,3.832743037,+1,2.445891753
212,0.81681409,0.753982237,+1,1.882904851
213,5.466371217,2.324778564,+1,1.851808216
214,2.953097094,5.592034923,+1,1.870329038
215,5.71769863,2.764601535,+1,2.854596567
216,1.068141502,0.502654825,+1,1.361166651
217,0.691150384,0.691150384,+1,1.491449319
218,0.062831853,0.879645943,+1,1.614313383
219,2.953097094,5.215043805,+1,2.002713154
220,2.261946711,0.565486678,-1,-1.585221924
221,3.518583772,0.376991118,-1,-1.559887001
222,4.209734156,5.277875658,-1,-0.87929634
223,1.947787445,5.215043805,-1,-1.45467215
224,0.691150384,2.261946711,-1,-2.506404408
225,1.884955592,5.215043805,-1,-1.408567863
226,4.523893421,4.649557127,-1,-1.968305493
227,4.08407045,5.089380099,-1,-1.578553068
228,0.188495559,0.188495559,-1,-2.375038316
229,2.261946711,4.838052687,-1,-0.955752964
230,4.272566009,2.261946711,-1,-0.576519892
231,4.398229715,0.062831853,-1,-1.295254598
232,2.136283004,0.942477796,-1,-2.216889066
233,2.324778564,4.209734156,-1,-1.701613793
234,3.455751919,0.125663706,-1,-1.882772098
235,3.392920066,0.753982237,-1,-1.186225
236,3.455751919,0.376991118,-1,-2.278633878
237,5.152211952,1.193805208,-1,-0.931713694
238,0.188495559,2.953097094,-1,-1.315312485
239,1.822123739,0.439822972,-1,-0.723757406
240,3.832743037,1.63362818,-1,-2.024826078
241,6.220353454,0.81681409,-1,-2.506671898
242,5.152211952,1.130973355,-1,-1.700365696
243,0.125663706,3.204424507,-1,-1.798742186
244,3.581415625,5.403539364,-1,-0.690017227
245,0.125663706,2.827433388,-1,-0.761183107
246,0.753982237,3.392920066,-1,-1.25777717
247,1.884955592,0.314159265,-1,-1.14455839
248,5.403539364,3.26725636,-1,-2.163994967
249,3.89557489,2.010619298,-1,-2.53781726
250,1.884955592,3.958406744,-1,-2.118537507
251,5.026548246,5.277875658,-1,-1.718366721
252,1.822123739,0.314159265,-1,-1.248365471
253,2.387610417,3.204424507,-1,-1.092119992
254,5.654866776,4.08407045,-1,-2.04615776
255,4.209734156,2.324778564,-1,-1.308488846
256,5.152211952,4.209734156,-1,-2.0569976
257,0.691150384,6.031857895,-1,-2.732828932
258,6.157521601,1.256637061,-1,-0.734959983
259,3.644247478,3.204424507,-1,-1.055784836
260,5.592034923,4.021238597,-1,-2.641416409
261,2.764601535,3.015928947,-1,-2.315574654
262,4.209734156,1.759291886,-1,-1.828821139
263,4.08407045,6.031857895,-1,-1.355266091
264,5.654866776,0.81681409,-1,-1.775366562
265,6.220353454,3.832743037,-1,-2.239521911
266,5.71769863,4.838052687,-1,-1.38208514
267,0.628318531,3.455751919,-1,-1.336101261
268,4.71238898,4.398229715,-1,-2.263368216
269,4.209734156,4.71238898,-1,-2.54263967
270,5.969026042,4.461061568,-1,-1.832880839
271,2.261946711,1.507964474,-1,-0.880581962
272,2.199114858,4.775220833,-1,-0.976642702
273,4.963716393,3.518583772,-1,-1.236728629
274,2.827433388,3.26725636,-1,-2.040145232
275,3.455751919,5.843362336,-1,-1.148831144
276,3.518583772,5.277875658,-1,-1.599779408
277,5.403539364,6.220353454,-1,-1.380033236
278,3.958406744,1.884955592,-1,-2.673447278
279,4.461061568,2.890265241,-1,-0.847695611
280,6.220353454,0.81681409,-1,-2.459661041
281,1.884955592,4.963716393,-1,-2.822833747
282,4.08407045,1.63362818,-1,-2.327176514
283,4.08407045,1.696460033,-1,-2.378293028
284,0.565486678,3.392920066,-1,-1.926415961
285,0,5.843362336,-1,-1.475157061
286,5.277875658,4.209734156,-1,-1.631462136
287,2.199114858,1.947787445,-1,-0.89601155
288,4.08407045,5.466371217,-1,-2.100931718
289,4.586725274,5.780530483,-1,-1.4360819
290,3.581415625,5.152211952,-1,-0.958694262
291,5.654866776,0.942477796,-1,-2.738573986
292,5.780530483,3.26725636,-1,-2.519880229
293,0.439822972,3.518583772,-1,-1.421731458
294,3.958406744,1.884955592,-1,-2.779840332
295,5.654866776,4.71238898,-1,-2.162781134
296,0,2.827433388,-1,-0.832543024
297,2.073451151,3.89557489,-1,-1.824576502
298,2.073451151,4.272566009,-1,-1.121283892
299,2.701769682,1.382300768,-1,-2.84238199
300,4.272566009,2.261946711,-1,-0.647950712
301,0.251327412,6.157521601,-1,-0.453048188
302,5.780530483,4.838052687,-1,-1.426388882
303,1.947787445,0.251327412,-1,-1.194537893
304,3.455751919,0.251327412,-1,-2.042871712
305,4.272566009,2.324778564,-1,-0.830671
306,4.146902303,2.45044227,-1,-1.360840136
307,5.780530483,3.330088213,-1,-2.05942687
308,3.204424507,3.078760801,-1,-1.482264115
309,0.439822972,3.26725636,-1,-1.930263952
310,2.576105976,1.507964474,-1,-2.548874911
311,2.073451151,1.884955592,-1,-1.363397366
312,3.330088213,3.204424507,-1,-1.455660971
313,1.005309649,6.220353454,-1,-1.538813164
314,0.628318531,5.340707511,-1,-1.879381804
315,0.628318531,2.324778564,-1,-1.856944386
316,3.707079331,1.759291886,-1,-1.881748315
317,0.439822972,3.392920066,-1,-2.230750118
318,0.502654825,2.890265241,-1,-0.734249258
319,3.769911184,1.696460033,-1,-1.898856568
320,0.753982237,3.141592654,-1,-1.024034865
321,2.010619298,1.256637061,-1,-1.5045886
322,6.031857895,1.319468915,-1,-1.680000566
323,5.277875658,4.838052687,-1,-1.555726581
324,0.125663706,3.518583772,-1,-1.150180336
325,2.136283004,1.005309649,-1,-2.037582616
326,3.015928947,3.078760801,-1,-2.013389704
327,5.089380099,1.130973355,-1,-1.180216828
328,4.963716393,3.518583772,-1,-1.219432095
329,2.638937829,2.890265241,-1,-1.937470903
330,4.209734156,2.764601535,-1,-0.997507541
331,5.215043805,0.502654825,-1,-1.98684699
332,6.157521601,3.832743037,-1,-2.041487498
333,1.947787445,1.319468915,-1,-1.409584838
334,0.062831853,2.890265241,-1,-1.634283443
335,2.387610417,4.146902303,-1,-1.431290171
336,4.335397862,4.523893421,-1,-2.224831067
337,2.261946711,4.272566009,-1,-1.785484101
338,6.094689748,1.256637061,-1,-1.339434104
339,2.136283004,3.958406744,-1,-1.870622095
340,4.021238597,2.136283004,-1,-2.193891786
341,4.021238597,6.031857895,-1,-2.437495934
342,2.764601535,3.26725636,-1,-2.031935486
343,1.068141502,2.136283004,-1,-1.023543415
344,0.125663706,0.314159265,-1,-2.362837116
345,4.963716393,5.403539364,-1,-1.428388862
346,3.644247478,1.63362818,-1,-1.042798353
347,1.193805208,3.330088213,-1,-0.885311841
348,5.089380099,4.963716393,-1,-1.188733781
349,4.146902303,4.90088454,-1,-2.272516948
350,4.335397862,4.586725274,-1,-2.748773172
351,4.146902303,5.592034923,-1,-1.406069704
352,4.146902303,0,-1,-1.139596361
353,2.136283004,4.272566009,-1,-1.610322424
354,5.089380099,0.062831853,-1,-0.985367609
355,3.581415625,5.152211952,-1,-0.925047977
356,5.026548246,0.879645943,-1,-1.578487097
357,0.628318531,4.838052687,-1,-2.216930394
358,4.649557127,1.822123739,-1,-2.372275697
359,4.021238597,1.884955592,-1,-2.42937822
360,5.089380099,0.942477796,-1,-1.54716112
361,1.507964474,2.576105976,-1,-1.444097938
362,2.638937829,1.193805208,-1,-2.460004198
363,2.890265241,3.141592654,-1,-2.304614644
364,5.969026042,4.398229715,-1,-1.014953486
365,0.879645943,3.141592654,-1,-1.120868057
366,4.08407045,3.141592654,-1,-1.213810989
367,4.71238898,4.649557127,-1,-0.486017595
368,2.701769682,1.193805208,-1,-2.582788202
369,5.906194189,3.204424507,-1,-2.498440432
370,3.392920066,6.157521601,-1,-0.160072205
371,1.63362818,3.832743037,-1,-1.087518067
372,4.963716393,0.81681409,-1,-1.532449687
373,4.021238597,2.324778564,-1,-1.568360428
374,4.90088454,5.466371217,-1,-1.439558927
375,1.947787445,4.021238597,-1,-1.971685664
376,5.403539364,5.026548246,-1,-0.966542584
377,0.81681409,5.654866776,-1,-1.906757258
378,5.089380099,1.068141502,-1,-1.993880204
379,2.073451151,4.021238597,-1,-2.171095083
380,5.843362336,1.068141502,-1,-2.428213986
381,3.204424507,0.188495559,-1,-2.061774873
382,2.513274123,3.141592654,-1,-1.714527579
383,1.005309649,2.010619298,-1,-0.717802849
384,2.827433388,3.204424507,-1,-2.310152376
385,1.068141502,3.26725636,-1,-1.286450624
386,4.335397862,4.523893421,-1,-2.357881562
387,1.193805208,0.062831853,-1,-1.453918319
388,5.089380099,1.884955592,-1,-2.213057175
389,3.015928947,3.204424507,-1,-2.051564028
390,5.969026042,3.204424507,-1,-2.531953495
391,5.843362336,3.392920066,-1,-1.279071687
392,2.261946711,1.507964474,-1,-0.787694599
393,5.52920307,0.81681409,-1,-2.627952186
394,0.628318531,5.969026042,-1,-2.557396641
395,0.502654825,4.838052687,-1,-1.427336923
396,1.570796327,2.513274123,-1,-1.170701657
397,4.335397862,2.953097094,-1,-1.09605183
398,5.026548246,1.822123739,-1,-2.39628064
399,3.204424507,6.220353454,-1,-1.64612261
400,3.769911184,2.136283004,-1,-1.235887185
401,4.461061568,0,-1,-0.923919936
402,5.340707511,4.838052687,-1,-1.668540388
403,4.146902303,5.71769863,-1,-0.978408177
404,4.209734156,1.947787445,-1,-1.278097131
405,5.277875658,5.026548246,-1,-1.575201315
406,0.188495559,3.141592654,-1,-1.379856034
407,5.215043805,1.068141502,-1,-1.606310505
408,2.953097094,2.827433388,-1,-1.669841883
409,2.261946711,1.696460033,-1,-1.42480278
410,3.958406744,1.445132621,-1,-1.727091881
411,2.324778564,1.570796327,-1,-1.276408874
412,1.947787445,0.314159265,-1,-0.928961946
413,3.958406744,2.199114858,-1,-1.928609016
414,2.764601535,1.256637061,-1,-2.711889691
415,4.021238597,6.157521601,-1,-2.023738142
416,5.592034923,4.90088454,-1,-1.247185648
417,2.261946711,1.63362818,-1,-1.359218428
418,3.455751919,3.141592654,-1,-1.261181512
419,4.838052687,0.942477796,-1,-0.774732703
420,4.209734156,2.324778564,-1,-1.340352328
421,4.335397862,3.015928947,-1,-1.300677026
422,0.565486678,4.963716393,-1,-0.973313959
423,3.769911184,1.884955592,-1,-2.287488437
424,2.45044227,3.204424507,-1,-1.119442145
425,2.010619298,5.277875658,-1,-0.756888244
426,5.843362336,1.193805208,-1,-2.292947959
427,5.843362336,4.461061568,-1,-1.490853276
428,6.157521601,1.382300768,-1,-1.341878572
429,5.089380099,3.581415625,-1,-1.160273206
430,5.52920307,3.958406744,-1,-1.398843746
431,5.277875658,0.314159265,-1,-1.903382944
432,4.08407045,3.141592654,-1,-1.270991247
433,4.461061568,2.827433388,-1,-1.05301688
434,1.822123739,4.838052687,-1,-2.370559841
435,2.890265241,0,-1,-0.902969178
436,5.152211952,0.502654825,-1,-0.658216034
437,5.654866776,3.141592654,-1,-1.594529256
438,3.707079331,3.141592654,-1,-1.01055759
439,5.026548246,3.330088213,-1,-1.36449149
